,ID,NM_LOCALID,LONG,LAT,ALT,UF_SIGLA,NM_REGIAO,REGIAO_SIGLA,UF
0,12,ALDEIA INDÍGENA SURUÍ - LINHA 14,-61.180935111745,-11.1906203464975,256.534383,RO,Norte,N,Rondônia
1,13,ALDEIA INDÍGENA - LINHA 14,-61.1763712958385,-11.2318777790011,258.142759,RO,Norte,N,Rondônia
2,14,ALDEIA INDÍGENA - LINHA 12,-61.2489909815248,-11.2206103219691,205.526414,RO,Norte,N,Rondônia
3,15,ALDEIA INDÍGENA - LINHA 11,-61.3052547594719,-11.1758443437912,227.287546,RO,Norte,N,Rondônia
4,16,ALDEIA INDÍGENA - LINHA 10,-61.3227495187781,-11.0959001305961,197.418105,RO,Norte,N,Rondônia
5,17,ALDEIA INDÍGENA - LINHA 9,-61.3603653386002,-11.0913580683086,215.455648,RO,Norte,N,Rondônia
6,18,ALDEIA INDÍGENA - LINHA 8,-61.4108712814245,-11.0827156291769,255.892437,RO,Norte,N,Rondônia
7,33,POSTO INDÍGENA SANTO ANDRÉ,-64.7530566854107,-10.5042853487987,223.615191,RO,Norte,N,Rondônia
8,34,POSTO INDÍGENA TANAJURA,-65.1837372640973,-11.047600215094,148.192506,RO,Norte,N,Rondônia
9,149,ALDEIA INDÍGENA TI KAXINAUA SERINGAL DO CURRALINHO,-70.4181961482918,-8.48911087779524,220.618428,AC,Norte,N,Acre
10,152,ALDEIA INDÍGENA TI NAWA,-73.4976133363757,-7.57851257736407,245.488524,AC,Norte,N,Acre
11,173,ALDEIA INDÍGENA TI MANCHINERI DO SERINGAL GUANABARA,-69.9120719175229,-10.2804618242691,268.80702,AC,Norte,N,Acre
12,174,ALDEIA INDÍGENA JAMINAWA DO RIO CAETÉ,-69.2380860007901,-9.24630182483701,198.532279,AC,Norte,N,Acre
13,176,ALDEIA INDÍGENA KAXINAWÁ SERINGAL CURRALINHO,-70.687267064393,-8.3790878787292,231.796717,AC,Norte,N,Acre
14,186,MARAJÁ,-64.8282784717324,-3.17841123488637,48.78166,AM,Norte,N,Amazonas
15,187,ALDEIA INDÍGENA IGARAPÉ GRANDE,-64.8680651102341,-3.20583967378665,71.946204,AM,Norte,N,Amazonas
16,188,ALDEIA INDÍGENA MÉRIA,-64.8561728955643,-3.20224252079928,44.187206,AM,Norte,N,Amazonas
17,189,ALDEIA INDÍGENA MÉRIA II,-64.8509787054666,-3.20397965161677,44.648318,AM,Norte,N,Amazonas
18,192,ALDEIA INDÍGENA CANIMARÚ,-68.2302377260909,-3.4017496183489,55.128739,AM,Norte,N,Amazonas
19,193,ALDEIA INDÍGENA BOM PASTOR,-68.2288849212397,-3.40609158885555,58.158937,AM,Norte,N,Amazonas
20,194,ALDEIA INDÍGENA NOVA GALILÉIA,-68.2386840561796,-3.39333384070077,52.963846,AM,Norte,N,Amazonas
21,195,ALDEIA INDÍGENA SANTO INÁCIO,-68.2122500335102,-3.44504021158325,62.555279,AM,Norte,N,Amazonas
22,196,ALDEIA INDÍGENA VILA TAMBAQUI,-68.2171622246706,-3.46811898217561,63.166788,AM,Norte,N,Amazonas
23,197,ALDEIA INDÍGENA NOVA ALEGRIA,-68.2354753775423,-3.39917446371974,66.125161,AM,Norte,N,Amazonas
24,198,ALDEIA INDÍGENA UMARIRANA,-68.5752481015451,-3.40681828402466,52.0,AM,Norte,N,Amazonas
25,199,ALDEIA INDÍGENA NOVA ESPERANÇA,-68.4534156689937,-3.3978695055345,60.876157,AM,Norte,N,Amazonas
26,200,ALDEIA INDÍGENA SÃO FRANCISCO DO CANIMARI,-68.3534441926198,-3.38734983176463,66.070185,AM,Norte,N,Amazonas
27,201,ALDEIA INDÍGENA MARAITÁ,-68.3587547285675,-3.30675515354482,56.401585,AM,Norte,N,Amazonas
28,202,ALDEIA INDÍGENA PALMEIRA DO NORTE,-68.3319611158924,-3.26159172846233,60.455441,AM,Norte,N,Amazonas
29,206,ALDEIA INDÍGENA SÃO JOSÉ,-61.5048688843994,-3.67666966746183,11.0,AM,Norte,N,Amazonas
30,207,ALDEIA INDÍGENA EWARE,-61.5017985053345,-3.67481240597908,11.0,AM,Norte,N,Amazonas
31,208,ALDEIA INDÍGENA SANTA LUZIA,-61.4831649544296,-3.66697708409872,11.0,AM,Norte,N,Amazonas
32,213,ALDEIA INDÍGENA CURUBUS,-70.8919436661041,-4.85343955710594,129.872217,AM,Norte,N,Amazonas
33,214,ALDEIA INDÍGENA MAIURUNAS I,-73.3057904289413,-6.69660510960106,189.154668,AM,Norte,N,Amazonas
34,215,ALDEIA INDÍGENA MAIURUNAS II,-73.1339541475921,-6.56292797868979,186.835905,AM,Norte,N,Amazonas
35,218,ALDEIA INDÍGENA IRARI,-70.961389933703,-4.38170464718572,78.793914,AM,Norte,N,Amazonas
36,219,ALDEIA INDÍGENA SÃO LUÍS,-71.3038271716914,-4.45458955208539,81.166727,AM,Norte,N,Amazonas
37,220,ALDEIA INDÍGENA FLORES VELHA,-71.3878895415484,-4.54092914640516,108.060949,AM,Norte,N,Amazonas
38,221,ALDEIA INDÍGENA MAIA,-71.4723547472077,-4.69273410616409,84.439161,AM,Norte,N,Amazonas
39,222,ALDEIA INDÍGENA FLORES,-71.5616864513219,-4.86033884218456,91.0,AM,Norte,N,Amazonas
40,223,ALDEIA INDÍGENA PEDRO LOPES,-71.7454739716333,-5.00228556923399,96.501235,AM,Norte,N,Amazonas
41,224,ALDEIA INDÍGENA FRUTA PÃO,-71.9445673890329,-5.191971564127,99.128359,AM,Norte,N,Amazonas
42,225,ALDEIA INDÍGENA TERRINHA,-72.1686879832848,-5.42079489067628,115.336943,AM,Norte,N,Amazonas
43,226,ALDEIA INDÍGENA SOLES,-72.8596720962596,-5.26944810964899,108.48224,AM,Norte,N,Amazonas
44,227,ALDEIA INDÍGENA JAQUIRANA,-72.9615717748577,-5.66008242825753,114.666638,AM,Norte,N,Amazonas
45,228,ALDEIA INDÍGENA PIN LOBO,-72.9741820839162,-5.73448474228991,124.235514,AM,Norte,N,Amazonas
46,229,ALDEIA INDÍGENA VOLTA GRANDE,-72.0574056677478,-5.69534741063363,112.658984,AM,Norte,N,Amazonas
47,230,ALDEIA INDÍGENA MALOCA DO PAULINHO,-72.0974086443323,-5.7900278285302,116.674266,AM,Norte,N,Amazonas
48,231,ALDEIA INDÍGENA SÃO SEBASTIÃO,-72.1010877584717,-5.79868888455383,110.543684,AM,Norte,N,Amazonas
49,232,ALDEIA INDÍGENA MORADA NOVA,-72.6682872282104,-6.49145512677176,148.102644,AM,Norte,N,Amazonas
50,233,ALDEIA INDÍGENA PIN MARONAL,-72.7178722501887,-6.62086844851737,167.768608,AM,Norte,N,Amazonas
51,234,ALDEIA INDÍGENA ALEGRIA,-72.126747753344,-6.80613043366563,150.224836,AM,Norte,N,Amazonas
52,235,ALDEIA INDÍGENA PRAIA,-72.1549955583749,-6.81190656704973,150.622324,AM,Norte,N,Amazonas
53,236,ALDEIA INDÍGENA VIDA NOVA,-72.1703767458049,-6.81075407121622,158.181115,AM,Norte,N,Amazonas
54,237,ALDEIA INDÍGENA CARNEIRO,-72.1814724371559,-6.81835781591659,165.854153,AM,Norte,N,Amazonas
55,238,ALDEIA INDÍGENA LIBERDADE,-72.2050937012877,-6.83285266736109,161.985649,AM,Norte,N,Amazonas
